AREA,PERIMETER,SOLIDITY,CONVEX_AREA,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,Class
491606,2525.6931,0.9952,493956,1.1145,0.9684,0.9457,IRAQI
399815,2296.231,0.9924,402885,1.1787,0.9529,0.9192,IRAQI
440427,2391.845,0.9967,441904,1.2669,0.9674,0.8882,IRAQI
429538,2421.332,0.9934,432406,1.3786,0.9207,0.8489,IRAQI
346264,2140.3511,0.9927,348820,1.2514,0.9498,0.8921,IRAQI
493734,2577.707,0.9937,496873,1.3426,0.9338,0.8621,IRAQI
375285,2207.188,0.9939,377576,1.0653,0.968,0.9681,IRAQI
419416,2340.7871,0.996,421118,1.1614,0.9619,0.9269,IRAQI
414712,2341.458,0.9955,416592,1.2337,0.9506,0.8993,IRAQI
411273,2358.1951,0.9889,415907,1.265,0.9294,0.8861,IRAQI
406496,2334.2209,0.991,410199,1.1999,0.9375,0.9113,IRAQI
349532,2150.8059,0.99,353065,1.1351,0.9495,0.9349,IRAQI
478829,2532.502,0.9943,481557,1.3507,0.9382,0.8592,IRAQI
430333,2436.938,0.9943,432806,1.3299,0.9106,0.8632,IRAQI
348500,2259.1169,0.9801,355592,1.2931,0.8581,0.8772,IRAQI
423897,2372.627,0.9936,426631,1.2469,0.9463,0.8942,IRAQI
457240,2482.696,0.9905,461605,1.1739,0.9322,0.9195,IRAQI
391921,2245.811,0.9947,393993,1.0793,0.9765,0.962,IRAQI
451338,2437.7871,0.994,454056,1.1208,0.9544,0.9415,IRAQI
412275,2337.198,0.994,414771,1.2287,0.9484,0.9006,IRAQI
422143,2350.7781,0.9964,423650,1.3059,0.9599,0.8745,IRAQI
394009,2279.7581,0.9945,396190,1.1786,0.9527,0.9188,IRAQI
438787,2463.532,0.9891,443644,1.2727,0.9085,0.8852,IRAQI
448744,2443.4241,0.995,451013,1.3221,0.9445,0.8679,IRAQI
447450,2453.7939,0.995,449709,1.2479,0.9339,0.8919,IRAQI
411322,2337.2439,0.9954,413219,1.2638,0.9462,0.8892,IRAQI
436325,2413.9519,0.9923,439695,1.1982,0.9409,0.9106,IRAQI
411293,2337.731,0.994,413795,1.3011,0.9457,0.8756,IRAQI
445077,2421.2759,0.9927,448336,1.1384,0.954,0.9336,IRAQI
